Country Code,Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ABW,Aruba,CO2 emissions (kt),2379.883,2409.219,2438.555,2563.2329999999997,2618.238,2720.914,2717.2470000000003,2823.59,2658.575,2629.239,2508.228,2500.894,1349.4560000000001,861.745,872.7460000000001,898.415
AFG,Afghanistan,CO2 emissions (kt),773.737,817.7410000000001,1070.764,1213.777,916.75,1327.454,1650.15,2273.54,4206.049,6769.281999999999,8463.436,12240.446000000002,10755.311000000002,9050.155999999999,8467.103000000001,9035.488000000001
AGO,Angola,CO2 emissions (kt),9541.534,9732.218,12665.818000000001,9064.824,18793.375,19156.408,22266.023999999998,25151.952999999998,25709.337000000003,27792.193,29057.307999999997,30586.447,34176.44,33692.396,44851.077000000005,34583.477
ALB,Albania,CO2 emissions (kt),3021.6079999999997,3223.2929999999997,3751.341,4294.057,4165.712,4253.72,3898.0209999999997,3927.357,4374.731,4378.398,4598.418,5240.143,4924.781,4913.78,5489.499,4616.753
AND,Andorra,CO2 emissions (kt),524.381,524.381,531.715,535.382,561.0509999999999,575.719,546.383,539.049,539.049,517.047,517.047,491.37800000000004,487.711,476.71,462.042,465.709
ARE,United Arab Emirates,CO2 emissions (kt),112562.23199999999,101403.55099999999,84656.362,106783.04,113174.621,116071.55099999999,123728.24699999999,135554.322,157167.62,168274.96300000002,158623.419,171626.60100000002,219792.646,220713.063,226143.89,194765.371
ARG,Argentina,CO2 emissions (kt),142136.587,133720.822,124714.67,135062.94400000002,157589.325,162110.736,175436.61399999997,175176.25699999998,189107.19,179961.69199999998,187904.414,191622.75199999998,193027.21300000002,193701.94100000002,195777.46300000002,201167.953
ARM,Armenia,CO2 emissions (kt),3465.315,3542.322,3043.61,3428.645,3644.998,4349.062,4378.398,5056.793,5551.838000000001,4360.063,4209.715999999999,4917.447,5694.851,5496.8330000000005,5529.835999999999,4803.77
ATG,Antigua and Barbuda,CO2 emissions (kt),344.69800000000004,348.365,370.36699999999996,403.37,421.705,429.039,443.707,469.376,480.37699999999995,509.713,524.381,513.38,524.381,524.381,528.048,546.383
AUS,Australia,CO2 emissions (kt),329443.28,324844.86199999996,341353.696,336271.234,342699.485,350172.831,365346.87700000004,372090.49,385904.07899999997,394792.88700000005,390861.86299999995,391818.95,388126.281,372317.844,361316.844,365332.209
AUT,Austria,CO2 emissions (kt),62265.66,65877.655,67010.758,71854.865,72140.891,73816.71,71818.195,69419.977,68811.255,62793.708,67564.475,65063.581,62324.332,62529.684,58903.02099999999,61264.569
AZE,Azerbaijan,CO2 emissions (kt),29508.349,28771.282000000003,29614.692000000003,30615.783,32089.917,34337.788,39167.227,30509.44,35503.894,31902.9,30678.122000000003,33248.689,35397.551,35496.56,37385.065,37597.751000000004
BDI,Burundi,CO2 emissions (kt),271.358,205.352,212.68599999999998,161.34799999999998,198.018,154.014,187.017,187.017,190.68400000000003,190.68400000000003,308.028,425.37199999999996,388.702,410.704,385.035,403.37
BEL,Belgium,CO2 emissions (kt),115118.131,114527.744,107311.088,112914.26400000001,111102.766,108543.2,107204.745,103658.756,104447.161,99306.02699999999,110259.356,99969.754,95132.981,97501.86300000001,93563.505,99346.364
BEN,Benin,CO2 emissions (kt),1598.8120000000001,1815.165,2079.189,2354.214,2508.228,2394.551,3872.3520000000003,4495.742,4411.401,4660.7570000000005,5089.795999999999,5060.46,4803.77,5042.125,5375.821999999999,6065.218000000001
BFA,Burkina Faso,CO2 emissions (kt),1041.428,997.424,1004.758,1078.098,1103.767,1125.769,1360.457,1595.145,1789.496,1895.839,2104.8579999999997,2200.2,2698.9120000000003,2929.933,2959.2690000000002,3329.636
BGD,Bangladesh,CO2 emissions (kt),27627.178,32621.632,33615.388999999996,35144.528,37682.092000000004,39500.924,43567.627,44539.382000000005,49625.511,54473.285,60223.140999999996,63233.748,67670.818,69456.647,73758.038,81073.703
BGR,Bulgaria,CO2 emissions (kt),43530.957,46453.556,44634.724,47307.967000000004,46801.920999999995,47916.689000000006,48991.12,52254.75,50740.279,42665.545,44114.01,49354.153,44862.078,39599.933,42328.181,44737.4
BHR,Bahrain,CO2 emissions (kt),18819.043999999998,14099.615,15889.111,16802.194,17953.631999999998,19878.807,19493.772,26846.107000000004,29768.706000000002,28217.565,29266.327,28848.289,27553.838,31407.855,31367.517999999996,32892.99
BHS,"Bahamas, The",CO2 emissions (kt),1950.844,1870.17,1928.842,1965.5120000000002,1972.846,1829.8329999999999,1778.495,1796.83,2361.548,1606.146,2387.217,1800.497,1906.84,2871.261,2350.547,2016.85
BIH,Bosnia and Herzegovina,CO2 emissions (kt),13787.92,13362.548,14301.3,14488.317,15610.419,16204.473,17564.93,17652.938000000002,20153.832,20703.881999999998,21275.933999999997,23886.838,22258.69,21921.326,19424.099,18569.688000000002
BLR,Belarus,CO2 emissions (kt),53787.556,52760.795999999995,52405.097,53530.865999999995,58158.62,59167.045,62071.309,60523.835,63105.403,61220.565,63043.064000000006,64062.49,62969.724,63054.065,62801.042,58279.630999999994
BLZ,Belize,CO2 emissions (kt),396.036,447.374,432.70599999999996,432.70599999999996,392.369,421.705,443.707,476.71,436.37300000000005,586.72,539.049,601.388,476.71,513.38,495.045,579.386
BMU,Bermuda,CO2 emissions (kt),517.047,528.048,557.384,561.0509999999999,583.053,583.053,652.726,729.7330000000001,649.059,476.71,608.722,443.707,366.7,509.713,649.059,557.384
BOL,Bolivia,CO2 emissions (kt),11067.006000000001,8621.117,10395.945,11092.675,11114.677,12185.441,15056.702,12332.121000000001,13237.87,13872.261,15188.714,16299.815,18819.043999999998,19149.074,20329.848,20073.158
BRA,Brazil,CO2 emissions (kt),327983.814,337433.67299999995,332266.87,321621.56899999996,337826.042,347308.904,347668.27,363212.68299999996,387631.23600000003,367147.374,419754.156,439412.94299999997,470028.726,503677.11799999996,533530.165,504388.516
BRB,Barbados,CO2 emissions (kt),1151.438,1188.108,1202.776,1254.114,1279.7830000000001,1334.7879999999998,1360.457,1360.457,1620.8139999999999,1613.48,1477.8010000000002,1529.139,1470.467,1448.465,1254.114,1254.114
BRN,Brunei Darussalam,CO2 emissions (kt),4712.095,4506.7429999999995,4378.398,4591.084,4998.121,5005.455,4862.442,8415.765,9119.829,7862.048000000001,8203.079,9695.548,9666.212,7803.376,9053.823,7073.643
BTN,Bhutan,CO2 emissions (kt),396.036,385.035,418.038,377.70099999999996,308.028,396.036,392.369,392.369,421.705,388.702,487.711,733.4,836.076,920.4169999999999,1037.761,1067.097
BWA,Botswana,CO2 emissions (kt),3780.677,3850.35,3978.695,3828.348,3898.0209999999997,4096.039000000001,4136.376,4231.718,4506.7429999999995,3887.02,4569.082,4033.7,5082.462,5669.182,6857.29,5430.826999999999
CAF,Central African Republic,CO2 emissions (kt),267.691,245.68900000000002,245.68900000000002,234.688,234.688,234.688,249.356,253.023,253.023,253.023,264.024,278.692,293.36,286.026,289.693,293.36
CAN,Canada,CO2 emissions (kt),534380.909,527926.989,519335.208,553100.944,553357.634,561425.034,571993.328,571846.6479999999,561791.7339999999,532191.71,527263.262,522774.854,517721.72799999994,519188.528,540614.809,549430.277
CHE,Switzerland,CO2 emissions (kt),39101.221,42984.574,40758.705,40193.987,40443.343,41444.434,41994.484000000004,38107.464,40509.349,41767.13,39141.558,37183.38,37854.441,40432.342000000004,35679.91,35672.576
CHL,Chile,CO2 emissions (kt),58815.013,53340.182,55162.681,55602.721,59775.767,61818.28599999999,64814.225,71638.512,71851.198,66805.406,72250.901,79243.87,80974.694,83226.232,79100.857,83244.567
CHN,China,CO2 emissions (kt),3405179.867,3487566.356,3850269.3260000004,4540417.061000001,5233538.733,5896957.705,6529291.517999999,6697654.489,7553070.247,7557789.676,8776040.416000001,9733538.12,10028573.939,10258007.127999999,10291926.877999999,10145004.856
CIV,Cote d'Ivoire,CO2 emissions (kt),6791.284000000001,7726.369000000001,7286.329000000001,5460.1630000000005,7664.03,7825.378000000001,6996.6359999999995,6776.616,6776.616,5658.181,6967.3,7245.991999999999,9292.178,10681.971000000001,11089.008,10960.663
