Country Code,Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ABW,Aruba,Urban population,42444.0,43048.0,43670.0,44246.0,44669.0,44889.0,44882.0,44686.0,44378.0,44053.0,43778.0,43819.0,44057.0,44348.0,44665.0,44979.0
AFG,Afghanistan,Urban population,4587798.0,4790053.0,5031157.0,5293385.0,5563504.0,5824291.0,6055019.0,6263747.0,6464835.0,6680732.0,6927764.0,7212518.0,7528588.0,7865067.0,8204877.0,8535606.0
AGO,Angola,Urban population,8212001.0,8688765.0,9190861.0,9721267.0,10284528.0,10882817.0,11437890.0,12025601.0,12644649.0,13291081.0,13963065.0,14660282.0,15383127.0,16130304.0,16900847.0,17691524.0
ALB,Albania,Urban population,1289391.0,1298584.0,1327220.0,1354848.0,1381828.0,1407298.0,1430886.0,1452398.0,1473392.0,1495260.0,1519519.0,1546929.0,1575788.0,1603505.0,1630119.0,1654503.0
AND,Andorra,Urban population,60417.0,61991.0,64194.0,66747.0,69192.0,71205.0,72737.0,73843.0,74641.0,75098.0,75007.0,74305.0,73056.0,71515.0,70057.0,68919.0
ARB,Arab World,Urban population,149612197.0,153594293.0,157691914.0,162002764.0,166570979.0,171562844.0,176916084.0,182152279.0,188077348.0,194146230.0,200303061.0,206244906.0,212088831.0,217954644.0,223793602.0,229821020.0
ARE,United Arab Emirates,Urban population,2514646.0,2663808.0,2820140.0,3024185.0,3330979.0,3774366.0,4380488.0,5121554.0,5911711.0,6630166.0,7189428.0,7553138.0,7747411.0,7824294.0,7866602.0,7935897.0
ARG,Argentina,Urban population,32867357.0,33297967.0,33728934.0,34159485.0,34588886.0,35015695.0,35439470.0,35861110.0,36284569.0,36714245.0,37055902.0,37543830.0,38027774.0,38509756.0,38990109.0,39467043.0
ARM,Armenia,Urban population,1984982.0,1964185.0,1948906.0,1935611.0,1921601.0,1906164.0,1888554.0,1869221.0,1850408.0,1835094.0,1825371.0,1821999.0,1823986.0,1830230.0,1838076.0,1845585.0
ASM,American Samoa,Urban population,51222.0,51762.0,52223.0,52540.0,52637.0,52474.0,52014.0,51303.0,50477.0,49709.0,49122.0,48790.0,48664.0,48664.0,48699.0,48689.0
ATG,Antigua and Barbuda,Urban population,24422.0,24507.0,24348.0,24158.0,23970.0,23802.0,23658.0,23529.0,23403.0,23264.0,23097.0,22941.0,23078.0,23199.0,23302.0,23392.0
AUS,Australia,Urban population,16133530.0,16326333.0,16550802.0,16780377.0,17000206.0,17250330.0,17531121.0,17666387.0,18049708.0,18451611.0,18767085.0,19056040.0,19414834.0,19775013.0,20095657.0,20410546.0
AUT,Austria,Urban population,4824004.0,4820068.0,4821291.0,4822095.0,4829142.0,4839033.0,4839801.0,4832038.0,4823638.0,4812679.0,4800510.0,4792887.0,4817487.0,4861991.0,4916377.0,4988134.0
AZE,Azerbaijan,Urban population,4135854.0,4184325.0,4232008.0,4280744.0,4335079.0,4396406.0,4461940.0,4530068.0,4643726.0,4759039.0,4835557.0,4920166.0,5008847.0,5098727.0,5189181.0,5279540.0
BDI,Burundi,Urban population,526002.0,552126.0,582051.0,615467.0,651765.0,690456.0,731647.0,775529.0,822199.0,871342.0,923258.0,977810.0,1034996.0,1095416.0,1159264.0,1227128.0
BEL,Belgium,Urban population,9956937.0,9997106.0,10047703.0,10095562.0,10144977.0,10206487.0,10279407.0,10360589.0,10448114.0,10537701.0,10639649.0,10784163.0,10856360.0,10912673.0,10966157.0,11034732.0
BEN,Benin,Urban population,2631925.0,2735157.0,2847830.0,2973327.0,3103024.0,3236233.0,3372954.0,3513643.0,3658708.0,3808657.0,3964237.0,4125679.0,4293031.0,4466248.0,4646155.0,4832681.0
BFA,Burkina Faso,Urban population,2071321.0,2214526.0,2367405.0,2530418.0,2704755.0,2890681.0,3089300.0,3277395.0,3457080.0,3645825.0,3844033.0,4051998.0,4269913.0,4497993.0,4736618.0,4985855.0
