Country Code,Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,color
AUS,Australia,GDP per capita growth (annual %),2.701328764,0.565688738,2.739716104,1.722900255,2.856048922,1.851139498,1.289214061,3.197559712,1.601302301,-0.142470567,0.492053155,1.048854351,2.119683584,0.834364138,1.015114223,0.732407044,#93b987
BRA,Brazil,GDP per capita growth (annual %),2.9118264430000003,0.013369738,1.709474389,-0.122936492,4.497077078,2.026307404,2.834754095,4.974704674,4.0544095680000005,-1.0819438959999998,6.524372804,3.026406873,1.014509775,2.108911835,-0.352479218,-4.351483989,#f85916
CAN,Canada,GDP per capita growth (annual %),3.945218564,0.309869781,2.303577137,2.879569828,2.948998271,4.008877889,3.118693069,5.835793375,-0.080294839,-4.0304198489999985,1.949628189,2.142309009,0.663247995,1.253613813,1.841026124,-0.089285801,#fbd505
CHN,China,GDP per capita growth (annual %),7.638597676,7.551654832,8.404879975,9.354776644,9.46155877,10.74137513,12.09330469,13.6358205,9.090280101,8.855947676,10.10283262,9.027174425,7.339468994,7.23540947,6.883229179,6.4987921339999986,#6d9c2f
DEU,Germany,GDP per capita growth (annual %),2.7732212510000003,1.510558261,-0.365628327,-0.755077167,1.197055352,0.7889171159999999,3.933610331,3.114245883,1.152029742,-5.4545771689999984,4.339606777,5.869635737,0.230160993,0.163870563,1.784341886,0.617105353,#ff3f3f
IND,India,GDP per capita growth (annual %),2.021088695,3.027377624,2.064875058,6.093705485,6.193653447999999,6.231948516,6.403284515,6.04817406,1.587598136,6.351088711,7.042346887000001,3.893930345,4.165499831,5.134956907,6.186731983,6.797039412,#38ddd9
IDN,Indonesia,GDP per capita growth (annual %),3.482209125,2.235181135,3.090633543,3.3765361310000004,3.630902268,4.289595233,4.107515275,4.946465429,4.620033267,3.247327414,4.812281788,4.7482206080000005,4.606284255,4.151271234,3.63914313,3.5554395660000004,#ffbc3e
IRN,"Iran, Islamic Rep.",GDP per capita growth (annual %),4.53123959,-0.473652305,5.933302091,7.396782151,3.120610975,1.990106181,3.820523973,6.970587537,-0.8391177329999999,-0.106548779,4.596446951,1.445852238,-8.553295826,-1.423452111,3.274962297,-2.611099313,#92c12b
JPN,Japan,GDP per capita growth (annual %),2.607851314,0.164695475,-0.114538322,1.311201372,2.170289266,1.653122597,1.355753419,1.537441316,-1.141424849,-5.404594188,4.173027538,0.069762808,1.657317593,2.147531753,0.507999337,1.330400881,#ff61a1
KOR,"Korea, Rep.",GDP per capita growth (annual %),8.15268966,4.051006403,7.10433311,2.614039827,4.781286153,4.087645147,4.712927655,5.266361146,2.23375226,0.27526898,6.274019889,2.891411994,1.865599496,2.6961509610000003,2.556219509,2.268429401,#fdbf60
MEX,Mexico,GDP per capita growth (annual %),3.440985879,-1.7929036130000002,-1.402932265,0.072262315,2.494832985,0.869515797,2.984438342,0.782568094,-0.357632988,-6.67416705,3.617189436,2.227160852,2.247145121,0.029449417,1.544045264,2.019023395,#78347c
POL,Poland,GDP per capita growth (annual %),5.658715074,1.286410848,2.083176394,3.568276628,5.044268419,3.552347627,6.198421176,7.1196993960000015,4.185753117,2.762525787,4.037233683,4.701325268,1.325133072,1.186825793,3.455982004,4.305813693,#3a1560
RUS,Russian Federation,GDP per capita growth (annual %),10.463718,5.546717048,5.1827468130000005,7.787965202,7.6324925010000015,6.806606167999999,8.554944957,8.685760611000001,5.246214033999999,-7.827749092,4.453094432,4.218725874,3.849155632,1.538963817,-1.045257463,-2.183888387,#58d454
SAU,Saudi Arabia,GDP per capita growth (annual %),3.22645784,-3.721164618,-5.5051282960000005,8.01558003,4.803447827,2.5439845830000003,-0.07362150099999999,-0.928231268,3.360699551,-4.787296527,2.008907792,6.703970907,2.20265505,-0.367217943,0.7542347770000001,1.4783722380000002,#30bac5
ZAF,South Africa,GDP per capita growth (annual %),2.742090718,1.339790661,2.397942551,1.6968270319999998,3.289032502,3.982017457,4.2777833360000015,4.008500447,1.823487575,-2.898730937,1.551072526,1.7207142830000002,0.607949069,0.852684804,0.247278816,-0.341677246,#ffd214
ESP,Spain,GDP per capita growth (annual %),4.776451415,3.214081018,1.290050047,1.136253252,1.35870928,1.915695738,2.357813153,1.7045220230000002,-0.709567924,-4.6118717060000005,-0.297088607,-1.166192626,-3.02242537,-1.111898854,1.687449704,3.915768451,#ff8029
THA,Thailand,GDP per capita growth (annual %),3.369968559,2.489316592,5.271117831000001,6.39087856,5.560908221,3.517291596,4.335656603,4.846449058,1.192205677,-1.189423812,6.98828156,0.35719604200000005,6.740737523,2.222548133,0.5502769829999999,2.7199761060000003,#df0000
TUR,Turkey,GDP per capita growth (annual %),5.3221493,-7.1478485360000015,4.890314622,4.252462059,8.286033003,7.559684721,5.620656246,3.797997951,-0.382919891,-6.027914117999999,6.919601986,9.509069038,3.09123616,6.663329395,3.16878332,4.331706182,#fbcb5a
GBR,United Kingdom,GDP per capita growth (annual %),3.068548101,2.5786991930000003,1.892089809,2.806551752,1.793155647,2.4737117790000003,2.035550362,1.63605844,-1.0628931,-4.969350259,1.153474876,0.7496972209999999,0.7757347059999999,1.457701819,1.854584591,1.5476970980000002,#ced4d7
USA,United States,GDP per capita growth (annual %),2.975208624,0.003648984,0.802103845,1.980925839,2.842680638,2.563502406,1.86795552,0.911865595,-1.076700086,-3.387435664,1.7182012999999998,0.8222775459999999,1.508614153,1.145053236,1.78278554,2.158873603,#d8b129
