Country Code,Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CHN,China,Urban population,452999147.0,471767321.0,491993700.0,512473984.0,533257098.0,554367818.0,575118254.0,595670841.0,616481190.0,637407288.0,658498663.0,678933504.0,699187267.0,719587859.0,740239259.0,761027100.0
USA,United States,Urban population,223069137.0,225792302.0,228400290.0,230876596.0,233532722.0,236200507.0,238999326.0,241795278.0,244607104.0,247276259.0,249845296.0,252186596.0,254576561.0,256899730.0,259361210.0,261865944.0
IND,India,Urban population,292322757.0,300118524.0,308796507.0,317584393.0,326495067.0,335503762.0,344622641.0,353850625.0,363154577.0,372465917.0,381763166.0,391040303.0,400417728.0,409909187.0,419568459.0,429428653.0
RUS,Russian Federation,Urban population,107528803.0,107067910.0,106569238.0,106133030.0,105771342.0,105433226.0,105152927.0,105037446.0,105055527.0,105149987.0,105261487.0,105407937.0,105669982.0,105998572.0,106354644.0,106703732.0
JPN,Japan,Urban population,99760751.0,101706485.0,104055019.0,106256267.0,108136910.0,109856670.0,111383848.0,112827761.0,114107975.0,115228215.0,116302928.0,116416235.0,116331281.0,116262976.0,116208079.0,116182717.0
DEU,Germany,Urban population,61629857.0,61902439.0,62174878.0,62376854.0,62529997.0,62660267.0,62753557.0,62833410.0,62875807.0,62877220.0,62940432.0,61940177.0,62064608.0,62242278.0,62510392.0,63062064.0
IRN,"Iran, Islamic Rep.",Urban population,42026541.0,43031116.0,44050010.0,45078311.0,46107032.0,47130046.0,48145863.0,49125150.0,50093529.0,51080202.0,52095517.0,53140089.0,54203628.0,55292621.0,56418308.0,57580319.0
SAU,Saudi Arabia,Urban population,16499665.0,16978440.0,17510539.0,18084339.0,18680566.0,19286107.0,19893608.0,20507062.0,21137735.0,21801430.0,22508632.0,23264870.0,24058860.0,24865453.0,25648738.0,26382755.0
KOR,"Korea, Rep.",Urban population,37428328.0,37867709.0,38258247.0,38626122.0,38947802.0,39195731.0,39490771.0,39740941.0,40093884.0,40351067.0,40602657.0,40909592.0,41089082.0,41240244.0,41463573.0,41645542.0
CAN,Canada,Urban population,24388404.0,24757782.0,25052940.0,25304780.0,25566897.0,25834340.0,26126316.0,26441461.0,26789863.0,27158023.0,27522537.0,27847821.0,28166078.0,28479640.0,28781576.0,29011826.0
IDN,Indonesia,Urban population,88840036.0,91738482.0,94698443.0,97720468.0,100811250.0,103961908.0,107178769.0,110459097.0,113814309.0,117243827.0,120709130.0,124016544.0,127396459.0,130826016.0,134287151.0,137751865.0
BRA,Brazil,Urban population,141915773.0,144508698.0,147005321.0,149452654.0,151843988.0,154176524.0,156447985.0,158660052.0,160823508.0,162949977.0,165055094.0,167158525.0,169240750.0,171300683.0,173346772.0,175375436.0
MEX,Mexico,Urban population,73899942.0,75268749.0,76634718.0,78013778.0,79428213.0,80890450.0,82408287.0,83973950.0,85573769.0,87182005.0,88781439.0,90370891.0,91948801.0,93515787.0,95072126.0,96615320.0
ZAF,South Africa,Urban population,25582582.0,26143327.0,26720456.0,27305505.0,27898739.0,28506191.0,29131015.0,29774437.0,30442138.0,31137755.0,31866173.0,32630279.0,33428280.0,34248628.0,35078456.0,35905875.0
GBR,United Kingdom,Urban population,46319551.0,46557334.0,46930583.0,47323791.0,47767769.0,48269624.0,48798541.0,49351705.0,49913475.0,50463084.0,51030310.0,51600211.0,52130345.0,52650595.0,53209683.0,53802927.0
AUS,Australia,Urban population,16133530.0,16326333.0,16550802.0,16780377.0,17000206.0,17250330.0,17531121.0,17666387.0,18049708.0,18451611.0,18767085.0,19056040.0,19414834.0,19775013.0,20095657.0,20410546.0
TUR,Turkey,Urban population,40942334.0,41943212.0,42979004.0,44016864.0,45048098.0,46065713.0,47064036.0,48048353.0,49047262.0,50096864.0,51225589.0,52440387.0,53730762.0,55071747.0,56438761.0,57806283.0
POL,Poland,Urban population,23611695.0,23622394.0,23621395.0,23563051.0,23506503.0,23453429.0,23396235.0,23340838.0,23300939.0,23274004.0,23165018.0,23134846.0,23086831.0,23025350.0,22960228.0,22897449.0
THA,Thailand,Urban population,19758316.0,20680738.0,21613066.0,22554369.0,23508150.0,24472850.0,25451682.0,26439736.0,27438708.0,28447159.0,29469051.0,30179366.0,30828051.0,31477989.0,32127193.0,32772699.0
ESP,Spain,Urban population,30937864.0,31186430.0,31708814.0,32390830.0,33059302.0,33727737.0,34408810.0,35159317.0,35833174.0,36260460.0,36535850.0,36773882.0,36904876.0,36891840.0,36890017.0,36971015.0
